Country,Make,Model,Year,Review Score,Sales Volume
France,Toyota,Corolla,2019,1.2,6486
Germany,Toyota,Corolla,2019,2.1,8010
USA,Toyota,Corolla,2019,3.8,1582
France,Toyota,Corolla,2020,1.7,15648
Germany,Toyota,Corolla,2020,2.5,14631
USA,Toyota,Corolla,2020,2.6,14080
France,Toyota,Corolla,2012,3.9,8109
Germany,Toyota,Corolla,2012,4.0,629
USA,Toyota,Corolla,2012,3.2,14207
France,Toyota,Corolla,2014,4.7,11291
Germany,Toyota,Corolla,2014,2.2,7016
USA,Toyota,Corolla,2014,3.2,12477
France,Toyota,Corolla,2016,4.1,7159
Germany,Toyota,Corolla,2016,2.7,3859
USA,Toyota,Corolla,2016,1.2,3270
France,Toyota,Corolla,2018,2.1,11427
Germany,Toyota,Corolla,2018,4.7,15877
USA,Toyota,Corolla,2018,2.3,3148
France,Toyota,Corolla,2013,4.7,2146
Germany,Toyota,Corolla,2013,4.8,3475
USA,Toyota,Corolla,2013,1.7,7038
France,Toyota,Corolla,2010,2.3,9087
Germany,Toyota,Corolla,2010,3.6,8793
USA,Toyota,Corolla,2010,4.6,3427
France,Toyota,Corolla,2015,3.0,14735
Germany,Toyota,Corolla,2015,4.6,11690
USA,Toyota,Corolla,2015,1.6,8736
France,Vauxhall,Astra,2017,2.4,7314
Germany,Vauxhall,Astra,2017,2.3,15117
USA,Vauxhall,Astra,2017,2.5,11069
France,Vauxhall,Astra,2011,1.6,9818
Germany,Vauxhall,Astra,2011,1.6,12958
USA,Vauxhall,Astra,2011,1.5,9894
France,Vauxhall,Astra,2021,3.9,16807
Germany,Vauxhall,Astra,2021,1.4,1372
USA,Vauxhall,Astra,2021,2.6,5624
France,Vauxhall,Astra,2022,3.8,15083
Germany,Vauxhall,Astra,2022,2.2,2935
USA,Vauxhall,Astra,2022,4.1,7759
France,Vauxhall,Astra,2019,4.3,7792
Germany,Vauxhall,Astra,2019,4.3,13241
USA,Vauxhall,Astra,2019,1.3,13500
France,Vauxhall,Astra,2020,3.9,5675
Germany,Vauxhall,Astra,2020,3.4,11985
USA,Vauxhall,Astra,2020,4.4,15864
France,Vauxhall,Astra,2012,2.6,14890
Germany,Vauxhall,Astra,2012,4.8,11070
USA,Vauxhall,Astra,2012,4.2,2574
France,Vauxhall,Astra,2014,4.6,16892
Germany,Vauxhall,Astra,2014,3.4,5567
USA,Vauxhall,Astra,2014,2.6,7822
France,Vauxhall,Astra,2016,4.6,16947
Germany,Vauxhall,Astra,2016,2.6,513
USA,Vauxhall,Astra,2016,4.5,5240
France,Vauxhall,Astra,2018,1.4,8968
Germany,Vauxhall,Astra,2018,3.0,4775
USA,Vauxhall,Astra,2018,2.7,16873
France,Vauxhall,Astra,2013,1.7,1958
Germany,Vauxhall,Astra,2013,4.9,13893
USA,Vauxhall,Astra,2013,2.6,2556
France,Vauxhall,Astra,2010,3.6,13172
Germany,Vauxhall,Astra,2010,4.4,8689
USA,Vauxhall,Astra,2010,4.7,14792
France,Vauxhall,Astra,2015,4.7,6786
Germany,Vauxhall,Astra,2015,3.2,15009
USA,Vauxhall,Astra,2015,1.7,8756
France,Hyundai,Elantra,2017,3.6,14299
Germany,Hyundai,Elantra,2017,3.4,2401
USA,Hyundai,Elantra,2017,2.0,11796
France,Hyundai,Elantra,2011,2.2,10970
Germany,Hyundai,Elantra,2011,1.5,1561
USA,Hyundai,Elantra,2011,2.7,16194
France,Hyundai,Elantra,2021,4.2,5670
Germany,Hyundai,Elantra,2021,4.8,2665
USA,Hyundai,Elantra,2021,1.7,1586
France,Hyundai,Elantra,2022,1.9,13778
Germany,Hyundai,Elantra,2022,3.0,6114
USA,Hyundai,Elantra,2022,1.5,11688
France,Hyundai,Elantra,2019,3.1,15209
Germany,Hyundai,Elantra,2019,1.7,9447
USA,Hyundai,Elantra,2019,3.7,1908
France,Hyundai,Elantra,2020,2.0,15240
Germany,Hyundai,Elantra,2020,3.0,14304
USA,Hyundai,Elantra,2020,4.4,4893
France,Hyundai,Elantra,2012,4.3,9063
Germany,Hyundai,Elantra,2012,3.9,1878
USA,Hyundai,Elantra,2012,3.7,883
France,Hyundai,Elantra,2014,1.3,8380
Germany,Hyundai,Elantra,2014,2.0,14026
USA,Hyundai,Elantra,2014,2.9,13760
France,Hyundai,Elantra,2016,2.2,8962
Germany,Hyundai,Elantra,2016,1.8,8662
USA,Hyundai,Elantra,2016,2.5,10740
France,Hyundai,Elantra,2018,2.8,908
Germany,Hyundai,Elantra,2018,1.9,9309
USA,Hyundai,Elantra,2018,2.7,9433
France,Hyundai,Elantra,2013,2.6,4467
Germany,Hyundai,Elantra,2013,2.6,10209
USA,Hyundai,Elantra,2013,4.4,13429
France,Hyundai,Elantra,2010,4.4,13644
Germany,Hyundai,Elantra,2010,4.1,1279
USA,Hyundai,Elantra,2010,2.9,10113
France,Hyundai,Elantra,2015,1.6,16719
Germany,Hyundai,Elantra,2015,2.3,10185
USA,Hyundai,Elantra,2015,4.2,9643
France,Porsche,911,2017,1.7,5051
Germany,Porsche,911,2017,4.2,7294
USA,Porsche,911,2017,1.7,14641
France,Porsche,911,2011,3.7,16601
Germany,Porsche,911,2011,3.5,14735
USA,Porsche,911,2011,3.7,16237
France,Porsche,911,2021,4.6,11652
Germany,Porsche,911,2021,2.8,2447
USA,Porsche,911,2021,1.8,7378
France,Porsche,911,2022,1.9,6487
Germany,Porsche,911,2022,1.2,14443
USA,Porsche,911,2022,1.5,1259
France,Porsche,911,2019,3.4,2455
Germany,Porsche,911,2019,4.2,9707
USA,Porsche,911,2019,1.6,15503
France,Porsche,911,2020,3.8,16431
Germany,Porsche,911,2020,3.9,14659
USA,Porsche,911,2020,3.8,12797
France,Porsche,911,2012,4.2,18367
Germany,Porsche,911,2012,3.8,10636
USA,Porsche,911,2012,2.6,14804
France,Porsche,911,2014,1.6,5719
Germany,Porsche,911,2014,1.5,13602
USA,Porsche,911,2014,2.1,16641
France,Porsche,911,2016,2.9,16014
Germany,Porsche,911,2016,4.6,2168
USA,Porsche,911,2016,4.3,5207
France,Porsche,911,2018,2.2,1767
Germany,Porsche,911,2018,4.9,14382
USA,Porsche,911,2018,1.7,18499
France,Porsche,911,2013,3.6,9824
Germany,Porsche,911,2013,3.7,13801
USA,Porsche,911,2013,1.7,8394
France,Porsche,911,2010,1.7,11761
Germany,Porsche,911,2010,4.1,11471
USA,Porsche,911,2010,4.9,4208
France,Porsche,911,2015,2.7,6883
Germany,Porsche,911,2015,3.6,15109
USA,Porsche,911,2015,2.5,1318
France,Tesla,Model Y,2017,4.6,11091
Germany,Tesla,Model Y,2017,4.7,9532
USA,Tesla,Model Y,2017,3.2,2550
France,Tesla,Model Y,2011,1.7,10411
Germany,Tesla,Model Y,2011,1.8,16477
USA,Tesla,Model Y,2011,4.9,4988
France,Tesla,Model Y,2021,2.4,15863
Germany,Tesla,Model Y,2021,1.7,15997
USA,Tesla,Model Y,2021,3.3,15011
France,Tesla,Model Y,2022,3.8,9069
Germany,Tesla,Model Y,2022,3.4,17237
USA,Tesla,Model Y,2022,4.2,9831
France,Tesla,Model Y,2019,4.0,7699
Germany,Tesla,Model Y,2019,3.5,12682
USA,Tesla,Model Y,2019,4.6,16370
France,Tesla,Model Y,2020,1.2,17213
Germany,Tesla,Model Y,2020,3.0,3522
USA,Tesla,Model Y,2020,3.4,11419
France,Tesla,Model Y,2012,1.3,11571
Germany,Tesla,Model Y,2012,2.2,12394
USA,Tesla,Model Y,2012,1.2,9088
France,Tesla,Model Y,2014,2.5,9463
Germany,Tesla,Model Y,2014,2.3,8352
USA,Tesla,Model Y,2014,2.6,5338
France,Tesla,Model Y,2016,4.3,758
Germany,Tesla,Model Y,2016,3.4,9211
USA,Tesla,Model Y,2016,1.2,3430
France,Tesla,Model Y,2018,4.4,9407
Germany,Tesla,Model Y,2018,3.8,16713
USA,Tesla,Model Y,2018,2.5,744
France,Tesla,Model Y,2013,2.6,15290
Germany,Tesla,Model Y,2013,2.1,9719
USA,Tesla,Model Y,2013,2.7,8370
France,Tesla,Model Y,2010,1.8,4422
Germany,Tesla,Model Y,2010,1.2,4622
USA,Tesla,Model Y,2010,2.8,1357
France,Tesla,Model Y,2015,1.7,5218
Germany,Tesla,Model Y,2015,2.2,17430
USA,Tesla,Model Y,2015,4.8,10779
France,Peugeot,308,2017,3.2,7541
Germany,Peugeot,308,2017,3.3,3507
USA,Peugeot,308,2017,1.6,3738
France,Peugeot,308,2011,1.3,3375
Germany,Peugeot,308,2011,3.7,11591
USA,Peugeot,308,2011,1.3,16282
France,Peugeot,308,2021,1.5,1036
Germany,Peugeot,308,2021,4.4,2930
USA,Peugeot,308,2021,3.0,14622
France,Peugeot,308,2022,3.2,991
Germany,Peugeot,308,2022,3.0,8490
USA,Peugeot,308,2022,4.3,12933
France,Peugeot,308,2019,4.6,2040
Germany,Peugeot,308,2019,2.7,9549
USA,Peugeot,308,2019,3.4,16186
France,Peugeot,308,2020,4.8,4143
Germany,Peugeot,308,2020,4.0,2515
USA,Peugeot,308,2020,3.9,12437
France,Peugeot,308,2012,4.8,5810
Germany,Peugeot,308,2012,3.4,12794
USA,Peugeot,308,2012,1.8,4149
France,Peugeot,308,2014,2.9,15491
Germany,Peugeot,308,2014,1.8,13809
USA,Peugeot,308,2014,1.4,13980
France,Peugeot,308,2016,1.9,2650
Germany,Peugeot,308,2016,4.1,8527
USA,Peugeot,308,2016,4.4,8673
France,Peugeot,308,2018,2.1,8973
Germany,Peugeot,308,2018,2.9,1113
USA,Peugeot,308,2018,2.2,11893
France,Peugeot,308,2013,2.0,8334
Germany,Peugeot,308,2013,1.9,7275
USA,Peugeot,308,2013,2.7,16090
France,Peugeot,308,2010,4.7,8024
Germany,Peugeot,308,2010,3.4,3041
USA,Peugeot,308,2010,3.1,4704
France,Peugeot,308,2015,3.7,18309
Germany,Peugeot,308,2015,2.2,6282
USA,Peugeot,308,2015,3.8,14548
France,Nissan,Rogue,2017,3.4,18401
Germany,Nissan,Rogue,2017,2.8,10271
USA,Nissan,Rogue,2017,4.8,7088
France,Nissan,Rogue,2011,2.0,6123
Germany,Nissan,Rogue,2011,2.9,7571
USA,Nissan,Rogue,2011,4.4,652
France,Nissan,Rogue,2021,2.5,6126
Germany,Nissan,Rogue,2021,1.9,5760
USA,Nissan,Rogue,2021,4.0,6614
France,Nissan,Rogue,2022,2.5,12224
Germany,Nissan,Rogue,2022,3.4,10845
USA,Nissan,Rogue,2022,4.4,16270
France,Nissan,Rogue,2019,3.5,4586
Germany,Nissan,Rogue,2019,2.1,12120
USA,Nissan,Rogue,2019,4.6,5114
France,Nissan,Rogue,2020,4.8,5803
Germany,Nissan,Rogue,2020,4.1,6772
USA,Nissan,Rogue,2020,4.0,2139
France,Nissan,Rogue,2012,2.0,13719
Germany,Nissan,Rogue,2012,4.8,1897
USA,Nissan,Rogue,2012,3.0,7723
France,Nissan,Rogue,2014,4.2,3714
Germany,Nissan,Rogue,2014,2.5,1970
USA,Nissan,Rogue,2014,1.2,7429
France,Nissan,Rogue,2016,1.5,14571
Germany,Nissan,Rogue,2016,3.3,6016
USA,Nissan,Rogue,2016,3.1,3815
France,Nissan,Rogue,2018,1.1,6396
Germany,Nissan,Rogue,2018,4.4,18419
USA,Nissan,Rogue,2018,4.4,1945
France,Nissan,Rogue,2013,4.4,16846
Germany,Nissan,Rogue,2013,1.5,6839
USA,Nissan,Rogue,2013,3.6,14438
France,Nissan,Rogue,2010,3.2,8433
Germany,Nissan,Rogue,2010,4.0,2758
USA,Nissan,Rogue,2010,3.9,6682
France,Nissan,Rogue,2015,2.0,12521
Germany,Nissan,Rogue,2015,3.1,9380
USA,Nissan,Rogue,2015,1.2,650
France,Mercedes-Benz,C-Class,2017,1.4,6402
Germany,Mercedes-Benz,C-Class,2017,4.7,12169
USA,Mercedes-Benz,C-Class,2017,2.0,15792
France,Mercedes-Benz,C-Class,2011,1.2,10492
Germany,Mercedes-Benz,C-Class,2011,2.5,16858
USA,Mercedes-Benz,C-Class,2011,2.3,1597
France,Mercedes-Benz,C-Class,2021,2.6,15675
Germany,Mercedes-Benz,C-Class,2021,2.3,8369
USA,Mercedes-Benz,C-Class,2021,4.8,2829
France,Mercedes-Benz,C-Class,2022,1.8,3133
Germany,Mercedes-Benz,C-Class,2022,2.9,2436
USA,Mercedes-Benz,C-Class,2022,3.6,13457
France,Mercedes-Benz,C-Class,2019,1.1,4604
Germany,Mercedes-Benz,C-Class,2019,4.8,9105
USA,Mercedes-Benz,C-Class,2019,2.7,10691
France,Mercedes-Benz,C-Class,2020,4.3,694
Germany,Mercedes-Benz,C-Class,2020,1.7,14429
USA,Mercedes-Benz,C-Class,2020,3.4,10729
France,Mercedes-Benz,C-Class,2012,1.6,4278
Germany,Mercedes-Benz,C-Class,2012,2.5,2928
USA,Mercedes-Benz,C-Class,2012,4.4,17363
France,Mercedes-Benz,C-Class,2014,3.6,16862
Germany,Mercedes-Benz,C-Class,2014,4.0,16387
USA,Mercedes-Benz,C-Class,2014,3.8,6010
France,Mercedes-Benz,C-Class,2016,2.9,17705
Germany,Mercedes-Benz,C-Class,2016,1.8,14566
USA,Mercedes-Benz,C-Class,2016,3.5,801
France,Mercedes-Benz,C-Class,2018,4.8,8712
Germany,Mercedes-Benz,C-Class,2018,1.8,14053
USA,Mercedes-Benz,C-Class,2018,4.5,11679
France,Mercedes-Benz,C-Class,2013,4.8,16660
Germany,Mercedes-Benz,C-Class,2013,3.5,1714
USA,Mercedes-Benz,C-Class,2013,3.3,2486
France,Mercedes-Benz,C-Class,2010,1.9,3221
Germany,Mercedes-Benz,C-Class,2010,4.1,13945
USA,Mercedes-Benz,C-Class,2010,2.6,7800
France,Mercedes-Benz,C-Class,2015,4.0,11978
Germany,Mercedes-Benz,C-Class,2015,2.7,4352
USA,Mercedes-Benz,C-Class,2015,3.1,9350
France,Kia,Forte,2017,1.5,12954
Germany,Kia,Forte,2017,3.2,3127
USA,Kia,Forte,2017,2.8,1827
France,Kia,Forte,2011,3.8,13833
Germany,Kia,Forte,2011,3.4,8055
USA,Kia,Forte,2011,3.2,11907
France,Kia,Forte,2021,1.1,3197
Germany,Kia,Forte,2021,4.8,18367
USA,Kia,Forte,2021,1.2,7839
France,Kia,Forte,2022,4.0,15651
Germany,Kia,Forte,2022,2.2,1661
USA,Kia,Forte,2022,2.3,6047
France,Kia,Forte,2019,2.3,14333
Germany,Kia,Forte,2019,3.5,7435
USA,Kia,Forte,2019,4.6,9925
France,Kia,Forte,2020,4.1,15804
Germany,Kia,Forte,2020,2.6,3260
USA,Kia,Forte,2020,4.2,13879
France,Kia,Forte,2012,4.4,6121
Germany,Kia,Forte,2012,1.4,4890
USA,Kia,Forte,2012,3.9,3606
France,Kia,Forte,2014,2.1,2338
Germany,Kia,Forte,2014,4.5,4261
USA,Kia,Forte,2014,2.8,16103
France,Kia,Forte,2016,2.3,16453
Germany,Kia,Forte,2016,4.1,3305
USA,Kia,Forte,2016,2.3,11461
France,Kia,Forte,2018,3.1,5179
Germany,Kia,Forte,2018,1.7,4682
USA,Kia,Forte,2018,4.2,8685
France,Kia,Forte,2013,1.5,10536
Germany,Kia,Forte,2013,4.6,10606
USA,Kia,Forte,2013,2.5,9052
France,Kia,Forte,2010,1.6,9847
Germany,Kia,Forte,2010,4.6,16629
USA,Kia,Forte,2010,3.4,964
France,Kia,Forte,2015,4.7,5918
Germany,Kia,Forte,2015,4.4,3084
USA,Kia,Forte,2015,3.9,14103
France,Chevrolet,Bolt,2017,3.1,3987
Germany,Chevrolet,Bolt,2017,2.3,17465
USA,Chevrolet,Bolt,2017,4.6,1046
France,Chevrolet,Bolt,2011,3.1,6325
Germany,Chevrolet,Bolt,2011,1.3,14359
USA,Chevrolet,Bolt,2011,4.2,18391
France,Chevrolet,Bolt,2021,2.4,16203
Germany,Chevrolet,Bolt,2021,1.8,1624
USA,Chevrolet,Bolt,2021,2.9,8601
France,Chevrolet,Bolt,2022,4.9,3202
Germany,Chevrolet,Bolt,2022,2.5,7831
USA,Chevrolet,Bolt,2022,3.5,1758
France,Chevrolet,Bolt,2019,1.6,11951
Germany,Chevrolet,Bolt,2019,2.7,4325
USA,Chevrolet,Bolt,2019,4.3,16066
France,Chevrolet,Bolt,2020,1.4,2817
Germany,Chevrolet,Bolt,2020,4.6,15543
USA,Chevrolet,Bolt,2020,2.3,12775
France,Chevrolet,Bolt,2012,1.5,15175
Germany,Chevrolet,Bolt,2012,4.0,1902
USA,Chevrolet,Bolt,2012,2.5,6008
France,Chevrolet,Bolt,2014,1.9,16043
Germany,Chevrolet,Bolt,2014,3.4,14959
USA,Chevrolet,Bolt,2014,1.8,9670
France,Chevrolet,Bolt,2016,3.4,8976
Germany,Chevrolet,Bolt,2016,1.1,16127
USA,Chevrolet,Bolt,2016,4.5,18270
France,Chevrolet,Bolt,2018,2.6,16166
Germany,Chevrolet,Bolt,2018,2.7,701
USA,Chevrolet,Bolt,2018,2.8,8387
France,Chevrolet,Bolt,2013,3.3,6959
Germany,Chevrolet,Bolt,2013,1.8,12705
USA,Chevrolet,Bolt,2013,1.1,10284
France,Chevrolet,Bolt,2010,3.1,8430
Germany,Chevrolet,Bolt,2010,2.3,17662
USA,Chevrolet,Bolt,2010,1.5,14009
France,Chevrolet,Bolt,2015,3.1,16280
Germany,Chevrolet,Bolt,2015,4.0,14677
USA,Chevrolet,Bolt,2015,4.5,8270
France,Tesla,Model S,2017,2.0,6616
Germany,Tesla,Model S,2017,3.4,2619
USA,Tesla,Model S,2017,3.1,15922
France,Tesla,Model S,2011,4.2,15937
Germany,Tesla,Model S,2011,2.2,15787
USA,Tesla,Model S,2011,4.4,11833
France,Tesla,Model S,2021,1.6,7102
Germany,Tesla,Model S,2021,3.1,11252
USA,Tesla,Model S,2021,3.5,10213
France,Tesla,Model S,2022,1.3,4327
Germany,Tesla,Model S,2022,3.8,7848
USA,Tesla,Model S,2022,4.6,2553
France,Tesla,Model S,2019,3.7,1929
Germany,Tesla,Model S,2019,4.4,1523
USA,Tesla,Model S,2019,2.9,10340
France,Tesla,Model S,2020,2.6,1237
Germany,Tesla,Model S,2020,2.8,2096
USA,Tesla,Model S,2020,3.1,11599
France,Tesla,Model S,2012,2.7,17634
Germany,Tesla,Model S,2012,2.0,2163
USA,Tesla,Model S,2012,2.4,10091
France,Tesla,Model S,2014,1.6,13163
Germany,Tesla,Model S,2014,2.9,12255
USA,Tesla,Model S,2014,4.3,17065
France,Tesla,Model S,2016,4.3,14020
Germany,Tesla,Model S,2016,3.0,1057
USA,Tesla,Model S,2016,3.0,15610
France,Tesla,Model S,2018,4.5,14830
Germany,Tesla,Model S,2018,1.4,13457
USA,Tesla,Model S,2018,3.1,7686
France,Tesla,Model S,2013,3.7,12080
Germany,Tesla,Model S,2013,1.8,16348
USA,Tesla,Model S,2013,4.3,7399
France,Tesla,Model S,2010,4.1,7517
Germany,Tesla,Model S,2010,4.6,16856
USA,Tesla,Model S,2010,4.5,3907
France,Tesla,Model S,2015,4.1,2809
Germany,Tesla,Model S,2015,4.3,936
USA,Tesla,Model S,2015,2.1,11614
France,Acura,RDX,2017,1.4,7116
Germany,Acura,RDX,2017,1.2,6897
USA,Acura,RDX,2017,1.9,18081
France,Acura,RDX,2011,1.4,18279
Germany,Acura,RDX,2011,3.4,17409
USA,Acura,RDX,2011,4.4,3586
France,Acura,RDX,2021,3.3,12877
Germany,Acura,RDX,2021,2.8,9366
USA,Acura,RDX,2021,4.0,14821
France,Acura,RDX,2022,3.4,16301
Germany,Acura,RDX,2022,2.5,5964
USA,Acura,RDX,2022,4.8,3465
France,Acura,RDX,2019,4.2,16860
Germany,Acura,RDX,2019,2.3,1987
USA,Acura,RDX,2019,1.2,17141
France,Acura,RDX,2020,3.5,6495
Germany,Acura,RDX,2020,2.1,3575
USA,Acura,RDX,2020,2.8,3909
France,Acura,RDX,2012,2.0,9483
Germany,Acura,RDX,2012,2.1,6947
USA,Acura,RDX,2012,4.4,8805
France,Acura,RDX,2014,4.4,1961
Germany,Acura,RDX,2014,3.8,7989
USA,Acura,RDX,2014,2.9,5359
France,Acura,RDX,2016,3.5,11727
Germany,Acura,RDX,2016,1.3,18379
USA,Acura,RDX,2016,3.2,7793
France,Acura,RDX,2018,3.3,15439
Germany,Acura,RDX,2018,1.3,13541
USA,Acura,RDX,2018,3.6,3452
France,Acura,RDX,2013,4.3,4746
Germany,Acura,RDX,2013,4.1,6297
USA,Acura,RDX,2013,3.4,7118
France,Acura,RDX,2010,4.7,7708
Germany,Acura,RDX,2010,2.7,5425
USA,Acura,RDX,2010,4.5,9803
France,Acura,RDX,2015,1.7,18103
Germany,Acura,RDX,2015,3.9,11788
USA,Acura,RDX,2015,2.4,1864
France,Lexus,NX,2017,2.5,13999
Germany,Lexus,NX,2017,1.9,3673
USA,Lexus,NX,2017,3.1,7062
France,Lexus,NX,2011,2.5,13664
Germany,Lexus,NX,2011,3.8,4264
USA,Lexus,NX,2011,2.2,15485
France,Lexus,NX,2021,1.6,2254
Germany,Lexus,NX,2021,4.9,1765
USA,Lexus,NX,2021,3.7,7137
France,Lexus,NX,2022,2.7,15136
Germany,Lexus,NX,2022,4.5,15079
USA,Lexus,NX,2022,3.5,15441
France,Lexus,NX,2019,3.6,9409
Germany,Lexus,NX,2019,1.2,1298
USA,Lexus,NX,2019,1.4,16289
France,Lexus,NX,2020,2.3,13752
Germany,Lexus,NX,2020,4.5,13311
USA,Lexus,NX,2020,2.1,13854
France,Lexus,NX,2012,2.4,16742
Germany,Lexus,NX,2012,3.9,10254
USA,Lexus,NX,2012,1.8,11918
France,Lexus,NX,2014,4.2,9765
Germany,Lexus,NX,2014,4.1,4940
USA,Lexus,NX,2014,1.3,7903
France,Lexus,NX,2016,4.8,7229
Germany,Lexus,NX,2016,1.8,12246
USA,Lexus,NX,2016,1.9,4652
France,Lexus,NX,2018,4.9,1448
Germany,Lexus,NX,2018,3.9,11466
USA,Lexus,NX,2018,4.8,1399
France,Lexus,NX,2013,2.1,11717
Germany,Lexus,NX,2013,3.6,1147
USA,Lexus,NX,2013,2.4,18163
France,Lexus,NX,2010,2.7,3809
Germany,Lexus,NX,2010,1.2,2826
USA,Lexus,NX,2010,1.4,888
France,Lexus,NX,2015,1.6,14659
Germany,Lexus,NX,2015,3.7,1869
USA,Lexus,NX,2015,3.5,2294
France,Chevrolet,Traverse,2017,2.4,11195
Germany,Chevrolet,Traverse,2017,3.5,16893
USA,Chevrolet,Traverse,2017,3.4,3506
France,Chevrolet,Traverse,2011,2.5,3833
Germany,Chevrolet,Traverse,2011,2.2,8103
USA,Chevrolet,Traverse,2011,1.5,12629
France,Chevrolet,Traverse,2021,1.2,5340
Germany,Chevrolet,Traverse,2021,2.0,829
USA,Chevrolet,Traverse,2021,2.4,17910
France,Chevrolet,Traverse,2022,1.4,16664
Germany,Chevrolet,Traverse,2022,4.4,1702
USA,Chevrolet,Traverse,2022,3.3,9064
France,Chevrolet,Traverse,2019,3.5,12166
Germany,Chevrolet,Traverse,2019,2.9,1010
USA,Chevrolet,Traverse,2019,4.1,16823
France,Chevrolet,Traverse,2020,4.8,8239
Germany,Chevrolet,Traverse,2020,3.4,7696
USA,Chevrolet,Traverse,2020,2.7,16105
France,Chevrolet,Traverse,2012,4.3,9835
Germany,Chevrolet,Traverse,2012,2.5,14614
USA,Chevrolet,Traverse,2012,3.2,18380
France,Chevrolet,Traverse,2014,3.8,14447
Germany,Chevrolet,Traverse,2014,1.6,10071
USA,Chevrolet,Traverse,2014,1.8,4190
France,Chevrolet,Traverse,2016,3.4,917
Germany,Chevrolet,Traverse,2016,1.8,15519
USA,Chevrolet,Traverse,2016,1.5,2602
France,Chevrolet,Traverse,2018,4.8,4607
Germany,Chevrolet,Traverse,2018,2.6,14720
USA,Chevrolet,Traverse,2018,4.1,10648
France,Chevrolet,Traverse,2013,2.0,12632
Germany,Chevrolet,Traverse,2013,3.6,5058
USA,Chevrolet,Traverse,2013,4.8,1259
France,Chevrolet,Traverse,2010,1.1,13914
Germany,Chevrolet,Traverse,2010,2.8,11223
USA,Chevrolet,Traverse,2010,4.5,9543
France,Chevrolet,Traverse,2015,2.6,2088
Germany,Chevrolet,Traverse,2015,2.8,10151
USA,Chevrolet,Traverse,2015,1.3,10041
France,Volvo,XC90,2017,1.9,14306
Germany,Volvo,XC90,2017,3.5,11718
USA,Volvo,XC90,2017,1.7,13193
France,Volvo,XC90,2011,1.7,5066
Germany,Volvo,XC90,2011,4.8,1773
USA,Volvo,XC90,2011,2.9,6120
France,Volvo,XC90,2021,1.1,13963
Germany,Volvo,XC90,2021,4.2,671
USA,Volvo,XC90,2021,3.3,14333
France,Volvo,XC90,2022,3.1,9323
Germany,Volvo,XC90,2022,2.0,13601
USA,Volvo,XC90,2022,1.3,13394
France,Volvo,XC90,2019,2.6,2559
Germany,Volvo,XC90,2019,2.2,9743
USA,Volvo,XC90,2019,3.9,8093
France,Volvo,XC90,2020,4.2,3784
Germany,Volvo,XC90,2020,3.2,16650
USA,Volvo,XC90,2020,2.5,6338
France,Volvo,XC90,2012,4.1,15127
Germany,Volvo,XC90,2012,1.3,2947
USA,Volvo,XC90,2012,4.6,6004
France,Volvo,XC90,2014,3.4,5695
Germany,Volvo,XC90,2014,1.2,2430
USA,Volvo,XC90,2014,2.4,1205
France,Volvo,XC90,2016,2.1,681
Germany,Volvo,XC90,2016,1.5,15533
USA,Volvo,XC90,2016,1.1,10577
France,Volvo,XC90,2018,4.3,2257
Germany,Volvo,XC90,2018,2.8,14581
USA,Volvo,XC90,2018,2.0,8752
France,Volvo,XC90,2013,2.5,10947
Germany,Volvo,XC90,2013,3.6,947
USA,Volvo,XC90,2013,4.8,14266
France,Volvo,XC90,2010,4.2,5926
Germany,Volvo,XC90,2010,2.9,9005
USA,Volvo,XC90,2010,1.4,6570
France,Volvo,XC90,2015,2.4,16626
Germany,Volvo,XC90,2015,4.7,9546
USA,Volvo,XC90,2015,2.6,11449
France,Nissan,Maxima,2017,2.5,11711
Germany,Nissan,Maxima,2017,4.5,4987
USA,Nissan,Maxima,2017,3.1,3764
France,Nissan,Maxima,2011,1.9,15113
Germany,Nissan,Maxima,2011,1.5,15357
USA,Nissan,Maxima,2011,4.9,15680
France,Nissan,Maxima,2021,1.4,14884
Germany,Nissan,Maxima,2021,1.8,8494
USA,Nissan,Maxima,2021,4.4,1315
France,Nissan,Maxima,2022,2.1,17485
Germany,Nissan,Maxima,2022,4.5,13285
USA,Nissan,Maxima,2022,4.1,9806
France,Nissan,Maxima,2019,1.9,11837
Germany,Nissan,Maxima,2019,3.0,9466
USA,Nissan,Maxima,2019,3.9,3988
France,Nissan,Maxima,2020,4.3,1885
Germany,Nissan,Maxima,2020,4.7,15476
USA,Nissan,Maxima,2020,1.3,13889
France,Nissan,Maxima,2012,4.5,13562
Germany,Nissan,Maxima,2012,4.6,8814
USA,Nissan,Maxima,2012,2.2,4394
France,Nissan,Maxima,2014,1.7,10889
Germany,Nissan,Maxima,2014,1.7,5141
USA,Nissan,Maxima,2014,4.8,4696
France,Nissan,Maxima,2016,3.7,5042
Germany,Nissan,Maxima,2016,1.7,2941
USA,Nissan,Maxima,2016,4.2,3176
France,Nissan,Maxima,2018,1.6,5191
Germany,Nissan,Maxima,2018,2.4,7046
USA,Nissan,Maxima,2018,2.3,10836
France,Nissan,Maxima,2013,3.9,14711
Germany,Nissan,Maxima,2013,4.5,3278
USA,Nissan,Maxima,2013,2.4,4212
France,Nissan,Maxima,2010,4.1,10392
Germany,Nissan,Maxima,2010,2.8,12319
USA,Nissan,Maxima,2010,1.2,2309
France,Nissan,Maxima,2015,4.0,3558
Germany,Nissan,Maxima,2015,2.7,10657
